claim,label
"Water boils at 100 degrees Celsius at sea level",true
"The Earth is flat",false
"Python is a programming language",true
"The Sun revolves around the Earth",false
"Humans need oxygen to survive",true
"2 plus 2 equals 5",false
"The Moon is made entirely of cheese",false
"Plants use photosynthesis to produce energy",true
"Water freezes at 0 degrees Celsius at standard pressure",true
"Gravity causes objects to fall toward Earth",true
"All swans are always white",uncertain
"Aliens definitely exist on another planet",uncertain
"Python is the best programming language",uncertain
"This company will become the biggest company next year",uncertain
"Luck determines everything in life",uncertain
"Time travel will definitely be invented in the future",uncertain
